丹青引赠曹将军霸,唐,杜甫,将军魏武之子孙，于今为庶为清门，英雄割据虽已矣，文采风流今尚存，学书初学卫夫人，但恨无过王右军，丹青不知老将至，富贵于我如浮云，开元之中常引见，承恩数上南薰殿，凌烟功臣少颜色，将军下笔开生面，良相头上进贤冠，猛将腰间大羽箭，褒公鄂公毛发动，英姿飒爽来酣战，先帝御马五花骢，画工如山貌不同，是日牵来赤墀下，迥立阊阖生长风，诏谓将军拂绢素，意匠惨澹经营中，斯须九重真龙出，一洗万古凡马空，玉花却在御榻上，榻上庭前屹相向，至尊含笑催赐金，圉人太仆皆惆怅，弟子韩干早入室，亦能画马穷殊相，干惟画肉不画骨，忍使骅骝气凋丧，将军画善盖有神，必逢佳士亦写真，即今漂泊干戈际，屡貌寻常行路人，途穷反遭俗眼白，世上未有如公贫，但看古来盛名下，终日坎壈缠其身
丹青引赠曹霸将军,唐,杜甫,将军魏武之子孙，于今为庶为清门，英雄割据虽已矣，文采风流今尚存，学书初学卫夫人，但恨无过王右军，丹青不知老将至，富贵于我如浮云，开元之中常引见，承恩数上南薰殿，凌烟功臣少颜色，将军下笔开生面，良相头上进贤冠，猛将腰间大羽箭，褒公鄂公毛发动，英姿飒爽来酣战，先帝御马五花骢，画工如山貌不同，是日牵来赤墀下，迥立阊阖生长风，诏谓将军拂绢素，意匠惨淡经营中，斯须九重真龙出，一洗万古凡马空，玉花却在御榻上，榻上庭前屹相向，至尊含笑催赐金，圉人太仆皆惆怅，弟子韩干早入室，亦能画马穷殊相，干惟画肉不画骨，忍使骅骝气凋丧，将军画善盖有神，必逢佳士亦写真，即今漂泊干戈际，屡貌寻常行路人，途穷反遭俗眼白，世上未有如公贫，但看古来盛名下，终日坎壈缠其身
为有,唐,李商隐,为有云屏无限娇，凤城寒尽怕春宵，无端嫁得金龟婿，辜负香衾事早朝
丽人行,唐,杜甫,三月三日天气新，长安水边多丽人，态浓意远淑且真，肌理细腻骨肉匀，绣罗衣裳照暮春，蹙金孔雀银麒麟，头上何所有，翠微盍叶垂鬓唇，背后何所见，珠压腰衱稳称身，就中云幕椒房亲，赐名大国虢与秦，紫驼之峰出翠釜，水精之盘行素鳞，犀箸厌饫久未下，鸾刀缕切空纷纶，黄门飞鞚不动尘，御厨络绎送八珍，箫鼓哀吟感鬼神，宾从杂遝实要津，后来鞍马何逡巡，当轩下马入锦茵，杨花雪落覆白苹，青鸟飞去衔红巾，炙手可热势绝伦，慎莫近前丞相嗔
乌夜啼昨夜风兼雨,五代,李煜,昨夜风兼雨，帘帏飒飒秋声，烛残漏断频欹枕，起坐不能平，世事漫随流水，算来一梦浮生，醉乡路稳宜频到，此外不堪行
乌衣巷,唐,刘禹锡,朱雀桥边野草花，乌衣巷口夕阳斜，旧时王谢堂前燕，飞入寻常百姓家
乐游原,唐,李商隐,向晚意不适，驱车登古原，夕阳无限好，只是近黄昏
九日登望仙台呈刘明府容,唐,崔曙,汉文皇帝有高台，此日登临曙色开，三晋云山皆北向，二陵风雨自东来，关门令尹谁能识，河上仙翁去不回，且欲近寻彭泽宰，陶然共醉菊花杯
九月九日岘山寄张子容,唐,孟浩然,北山白云里，隐者自怡悦，相望试登高，心随雁飞灭，愁因薄暮起，兴是清秋发，时见归村人，沙行渡头歇，天边树若荠，江畔洲如月，何当载酒来，共醉重阳节
九月九日忆山东兄弟,唐,王维,独在异乡为异客，每逢佳节倍思亲，遥知兄弟登高处，遍插茱萸少一人
乞巧,唐,林杰,七夕今宵看碧霄，牵牛织女渡河桥，家家乞巧望秋月，穿尽红丝几万条
乡村四月,宋,翁卷,绿遍山原白满川，子规声里雨如烟，乡村四月闲人少，才了蚕桑又插田
书博山道中壁,宋,辛弃疾,少年不识愁滋味，爱上层楼，爱上层楼，为赋新词强说愁，而今识尽愁滋味，欲说还休，欲说还休，却道天凉好个秋
书湖阴先生壁其一,宋,王安石,桑条索漠栋花繁，风敛余香暗度垣，黄鸟数声残午梦，尚疑身属半山园
书湖阴先生壁,宋,王安石,茅檐长扫净无苔，花木成畦手自栽，一水护田将绿绕，两山排闼送青来
书边事,唐,张乔,调角断清秋，征人倚戍楼，春风对青冢，白日落梁州，大汉无兵阻，穷边有客游，蕃情似此水，长愿向南流
云阳馆与韩绅宿别,唐,司空曙,故人江海别，几度隔山川，乍见翻疑梦，相悲各问年，孤灯寒照雨，深竹暗浮烟，更有明朝恨，离杯惜共传
今日良宴会,汉,佚名,今日良宴会，欢乐难具陈，弹筝奋逸响，新声妙入神，令德唱高言，识曲听其真，齐心同所愿，含意俱未申，人生寄一世，奄忽若飙尘，何不策高足，先据要路津，无为守贫贱，坎坷长苦辛
从军行,唐,杨炯,烽火照西京，心中自不平，牙璋辞凤阙，铁骑绕龙城，雪暗凋旗画，风多杂鼓声，宁为百夫长，胜作一书生
从军行,唐,王昌龄,青海长云暗雪山，孤城遥望玉门关，黄沙百战穿金甲，不破楼兰终不还
伊州歌,唐,金昌绪,打起黄莺儿，莫教枝上啼，啼时惊妾梦，不得到辽西
春怨,唐,金昌绪,打起黄莺儿，莫教枝上啼，啼时惊妾梦，不得到辽西
佳人,唐,杜甫,绝代有佳人，幽居在空谷，自云良家子，零落依草木，关中昔丧乱，兄弟遭杀戮，官高何足论，不得收骨肉，世情恶衰歇，万事随转烛，夫婿轻薄儿，新人美如玉，合昏尚知时，鸳鸯不独宿，但见新人笑，那闻旧人哭，在山泉水清，出山泉水浊，侍婢卖珠回，牵萝补茅屋，摘花不插发，采柏动盈掬，天寒翠袖薄，日暮倚修竹
使至塞上,唐,王维,单车欲问边，属国过居延，征蓬出汉塞，归雁入胡天，大漠孤烟直，长河落日圆，萧关逢侯骑，都护在燕然
使至塞上,唐,王维,单车欲问边，属国过居延，征蓬出汉塞，归雁入胡天，大漠孤烟直，长河落日圆，萧关逢候骑，都护在燕然
元日,宋,王安石,爆竹声中一岁除，春风送暖入屠苏，千门万户曈曈日，总把新桃换旧符
八六子倚危亭,宋,秦观,倚危亭，恨如芳草，萋萋刬尽还生，念柳外青骢别后，水边红袂分时，怆然暗惊，无端天与娉婷，夜月一帘幽梦，春风十里柔情，怎奈向，欢娱渐随流水，素弦声断，翠绡香减，那堪片片飞花弄晚，蒙蒙残雨笼晴，正销凝，黄鹂又啼数声
八声甘州对潇潇暮雨洒江天,宋,柳永,对潇潇暮雨洒江天，一番洗清秋，渐霜风凄紧，关河冷落，残照当楼，是处红衰翠减，苒苒物华休，唯有长江水，无语东流，不忍登高临远，望故乡渺邈，归思难收，叹年来踪迹，何事苦淹留，想佳人妆楼颙望，误几回天际识归舟，争知我，倚阑杆处，正恁凝愁
八声甘州灵岩陪庾幕诸公游,宋,吴文英,渺空烟，四远是何年，青天坠长星，幻苍崖云树，名娃金屋，残霸宫城，箭径酸风射眼，腻水染花腥，时靸双鸳响，廊叶秋声，宫里吴王沉醉，倩五湖倦客，独钓醒醒，问苍波无语，华发奈山青，水涵空，阑干高处，送乱鸦斜日落渔汀，连呼酒，上琴台去，秋与云平
八声甘州记玉关踏雪事清游,宋,张炎,辛卯岁，沈尧道同余北归，各处杭，越，逾岁，尧道来问寂寞，语笑数日，又复别去，赋此曲，并寄赵学舟，记玉关踏雪事清游，寒气脆貂裘，傍枯林古道，长河饮马，此意悠悠，短梦依然江表，老泪洒西州，一字无题处，落叶都愁，载取白云归去，问谁留楚佩，弄影中洲，折芦花赠远，零落一身秋，向寻常，野桥流水，待招来，不是旧沙鸥，空怀感，有斜阳处，却怕登楼
八月十五夜赠张功曹,唐,韩愈,纤云四卷天无河，清风吹空月舒波，沙平水息声影绝，一杯相属君当歌，君歌声酸辞且苦，不能听终泪如雨，洞庭连天九疑高，蛟龙出没猩鼯号，十生九死到官所，幽居默默如藏逃，下床畏蛇食畏药，海气湿蛰熏腥臊，昨者州前捶大鼓，嗣皇继圣登夔皋，赦书一日行万里，罪从大辟皆除死，迁者追回流者还，涤瑕荡垢清朝班，州家申名使家抑，坎轲只得移荆蛮，判司卑官不堪说，未免捶楚尘埃间，同时辈流多上道，天路幽险难追攀，君歌且休听我歌，我歌今与君殊科，一年明月今宵多，人生由命非由他，有酒不饮奈明何
八阵图,唐,杜甫,功盖三分国，名成八阵图，江流石不转，遗恨失吞吴
六丑落花,宋,周邦彦,正单衣试酒，恨客里，光阴虚掷，愿春暂留，春归如过翼，一去无迹，为问花何在，夜来风雨，葬楚宫倾国，钗钿堕处遗香泽，乱点桃蹊，轻翻柳陌，多情为谁追惜，但蜂媒蝶使，时叩窗隔，东园岑寂，渐蒙笼暗碧，静绕珍丛底，成叹息，长条故惹行客，似牵衣待话，别情无极，残英小，强簪巾帻，终不似一朵，钗头颤袅，向人欹侧，漂流处，莫趁潮汐，恐断红，尚有相思字，何由见得
六州歌头少年侠气,宋,贺铸,少年侠气，交结五都雄，肝胆洞，毛发耸，立谈中，死生同，一诺千金重，推翘勇，矜豪纵，轻盖拥，联飞鞚，斗城东，轰饮酒垆，春色浮寒瓮，吸海垂虹，闲呼鹰嗾犬，白羽摘雕弓，狡穴俄空，乐匆匆，似黄粱梦，辞丹凤，明月共，漾孤篷，官冗從，怀倥偬，落尘笼，簿书丛，鹖弁如云众，供粗用，忽奇功，笳鼓动，渔阳弄，思悲翁，不请长缨，系取天骄种，剑吼西风，恨登山临水，手寄七弦桐，目送归鸿
